site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
3154,2020-01-01,0,5.30,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,1,7.70,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,2,3.90,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,3,7.70,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,4,4.20,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,5,4.70,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,6,3.60,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,7,13.40,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,8,3.60,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,9,5.10,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,10,0.60,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,11,6.30,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,12,5.90,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,13,3.60,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,14,5.00,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,15,6.50,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,16,5.20,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,17,8.30,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,18,4.60,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,19,5.30,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
3154,2020-01-01,20,5.90,PMTEOM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,H,, 
